100000   0.06
200000   0.14
300000   0.24
400000   0.34
500000   0.40
600000   0.50
700000   0.63
800000   0.84
900000   0.86
1000000  0.92
1100000  1.03
1200000  1.16
1300000  1.31
1400000  1.33
1500000  1.54
1600000  1.68
1700000  1.63
1800000  1.84
1900000  1.92
2000000  2.26
3000000  3.28
4000000  4.66
5000000  5.99
6000000  7.47
7000000  8.60
8000000  9.95
9000000  11.42
10000000 14.16
11000000 14.28
12000000 15.72
13000000 17.09
14000000 18.26
15000000 19.45



