100000 0.29
200000 1.30
300000 3.23
400000 6.04
500000 12.08
600000 18.68
700000 26.03
800000 35.60
900000 46.05
1000000 58.00
1100000 71.29
1200000 86.56
1300000 102.52
1400000 114.81
1500000 137.94
1600000 158.87
1700000 179.29
1800000 198.32
1900000 223.68
2000000 312.77
